wellbore	date	discovered_oil	discovered_gas	discovered_oe
34/10-39 S	1995-05-31	0.00	0.00	0.00
17/3-1	1995-06-29	0.00	0.00	0.00
6608/10-5	1995-07-05	0.00	0.00	0.00
25/8-7	1995-07-21	0.00	0.00	0.00
JOTUN	1995-07-27	23.20	1.10	24.30
34/10-40 S	1995-08-13	0.00	0.00	0.00
6406/2-1 LAVRANS	1995-08-21	0	0	0
JOTUN	1995-08-22	0	0	0
GLITNE	1995-08-31	8.90	0.00	8.90
6406/12-2	1995-09-01	0.00	0.00	0.00
VESLEFRIKK	1995-09-21	0	0	0
25/11-20	1995-10-08	0.00	0.00	0.00
7/12-12 S	1995-10-09	0.00	0.00	0.00
25/5-5 (Tir)	1995-10-27	0.00	0.00	0.00
6204/10-1	1995-10-28	0.00	0.00	0.00
30/8-1 SR	1995-11-14	0.00	0.00	0.00
2/8-15	1995-11-27	0.00	0.00	0.00
30/8-2	1995-12-15	0.00	0.00	0.00
25/10-6 S	1995-12-26	0.00	0.00	0.00
34/11-2 S (Nøkken)	1996-01-16	1.71	3.89	6.08
FRAM	1996-03-03	0	0	0
GJØA	1996-03-31	0	0	0
35/10-2	1996-04-16	0.00	2.80	3.36
31/2-19 S	1996-05-08	0.00	0.00	0.00
25/10-7 S	1996-05-20	0.00	0.00	0.00
24/12-3 S	1996-06-27	0.00	0.00	0.00
SYGNA	1996-06-29	11.20	0.00	11.20
TORDIS	1996-07-31	0	0	0
YME	1996-08-19	0	0	0
KRISTIN	1996-08-24	23.10	29.50	60.80
6610/2-1 S	1996-08-27	0.00	0.00	0.00
36/4-1	1996-09-03	0.00	0.00	0.00
6610/3-1 R2	1996-10-01	0.00	0.00	0.00
3/7-6	1996-10-08	0.00	0.00	0.00
32/4-1	1996-10-21	0.00	0.00	0.00
16/10-3	1996-10-22	0.00	0.00	0.00
33/6-2	1996-10-28	0.00	0.00	0.00
2/6-5	1996-11-17	0.00	0.00	0.00
30/11-5 (Steinbit)	1996-12-05	1.32	3.24	5.21
1/3-8	1996-12-12	0.00	0.00	0.00
35/4-1	1996-12-23	0.00	0.00	0.00
25/8-9	1997-01-05	0.00	0.00	0.00
2/1-11	1997-01-14	0.00	0.00	0.00
6204/10-2	1997-01-19	0.00	0.00	0.00
6608/8-1	1997-02-01	0.00	0.00	0.00
2/8-16 S	1997-02-08	0.00	0.00	0.00
HANZ	1997-02-17	2.30	0.40	2.80
15/6-8 S	1997-02-18	0.00	0.00	0.00
15/6-8 A	1997-04-05	0.00	0.00	0.00
6507/3-2	1997-04-06	0.00	0.00	0.00
15/12-11 S	1997-04-10	0.00	0.00	0.00
AASTA HANSTEEN	1997-04-19	0	0	0
YME	1997-04-22	0	0	0
BALDER	1997-04-29	0	0	0
6407/8-3	1997-05-13	0.00	0.00	0.00
25/7-4 S	1997-06-02	0.00	0.00	0.00
6306/5-1	1997-06-08	0.00	0.00	0.00
9/2-8 S	1997-06-24	0.00	0.00	0.00
6507/7-11 S	1997-06-25	0.00	0.00	0.00
16/7-6	1997-06-27	0.00	0.00	0.00
34/10-41 S	1997-07-13	0.00	0.00	0.00
ALVHEIM	1997-07-16	0	0	0
VOLVE	1997-07-18	0	0	0
JOTUN	1997-07-27	0	0	0
ORMEN LANGE	1997-07-27	0.00	296.40	315.30
6510/2-1	1997-08-16	0.00	0.00	0.00
36/7-2	1997-09-02	0.00	0.00	0.00
2/5-11 (Tjatse)	1997-09-06	0.00	0.00	0.00
35/9-3	1997-09-23	0.00	0.00	0.00
6706/11-1	1997-10-12	0.00	0.00	0.00
VESLEFRIKK	1997-10-13	0	0	0
BALDER	1997-10-16	0	0	0
SIGYN	1997-10-20	0	0	0
6204/10-2	1997-11-04	0	0	0
6510/2-1 R	1997-11-05	0.00	0.00	0.00
30/8-3	1997-11-13	0.00	0.00	0.00
2/8-17 S	1997-12-04	0.00	0.00	0.00
6204/11-2	1997-12-06	0.00	0.00	0.00
SKARV	1997-12-24	0	0	0
34/7-28	1997-12-30	0.00	0.00	0.00
25/11-22	1998-01-07	0.00	0.00	0.00
2/8-17 A	1998-01-18	0.00	0.00	0.00
6505/10-1	1998-03-28	0.00	0.00	0.00
VESLEFRIKK	1998-05-20	0	0	0
ALVHEIM	1998-05-25	43.50	8.40	51.90
1/5-3 S	1998-06-10	0.00	0.00	0.00
16/10-4	1998-07-11	0.00	0.00	0.00
6305/1-1	1998-08-18	0.00	0.00	0.00
6406/2-6 RAGNFRID	1998-08-25	0.00	0.00	0.00
34/7-27	1998-09-01	0.00	0.00	0.00
OSEBERG	1998-09-09	0	0	0
16/1-5	1998-10-12	0.00	0.00	0.00
16/1-5 A	1998-11-21	0.00	0.00	0.00
30/6-25 S	1998-11-26	0.00	0.00	0.00
15/3-6	1998-12-14	0.00	0.00	0.00
SKARV	1998-12-23	17.90	43.80	66.70
2/1-12	1999-01-08	0.00	0.00	0.00
2/7-31	1999-01-13	0.00	0.00	0.00
6704/12-1	1999-06-04	0.00	0.00	0.00
6407/9-9 (Hasselmus)	1999-06-22	0.00	0.09	0.13
35/10-3	1999-06-23	0.00	0.00	0.00
YME	1999-06-29	0	0	0
35/8-4	1999-07-04	0.00	0.00	0.00
6507/7-12	1999-07-17	0.00	0.00	0.00
6508/1-1 S	1999-07-25	0.00	0.00	0.00
6508/1-1 A	1999-08-29	0.00	0.00	0.00
6406/2-7 (Erlend)	1999-09-22	0.88	1.02	2.13
25/6-3	1999-10-21	0.00	0.00	0.00
34/4-10 (Beta Brent)	2000-02-12	0.99	0.15	1.14
URD	2000-02-29	7.50	0.40	8.00
34/4-10 (Beta Brent)	2000-03-13	0	0	0
35/11-12	2000-04-19	0.00	0.00	0.00
30/3-9	2000-04-24	0.00	0.00	0.00
SKARV	2000-05-15	0	0	0
6406/2-6 RAGNFRID	2000-05-17	0	0	0
3/6-1	2000-06-20	0.00	0.00	0.00
31/5-6	2000-07-05	0.00	0.00	0.00
6506/6-1 (Victoria)	2000-07-10	0.00	26.79	26.79
7216/11-1 S	2000-07-24	0.00	0.00	0.00
BRAGE	2000-07-27	0	0	0
GOLIAT	2000-09-16	28.50	0.00	28.50
6710/10-1	2000-10-05	0.00	0.00	0.00
7019/1-1	2000-10-06	0.00	0.00	0.00
NJORD	2000-10-18	0	0	0
6608/11-2 (Falk)	2000-10-28	0.00	0.00	0.00
URD	2000-11-27	0	0	0
16/4-3	2000-12-05	0.00	0.00	0.00
7228/7-1 S	2000-12-05	0.00	0.00	0.00
6507/7-13	2000-12-12	0.91	0.04	0.95
REV	2000-12-25	0.80	2.60	3.40
7228/7-1 (Pandora)	2001-01-08	0.00	0.00	0.00
MORVIN	2001-01-25	10.10	4.70	16.00
7121/5-3	2001-02-16	0.00	0.00	0.00
GULLFAKS SØR	2001-02-25	0	0	0
6406/1-1 (Erlend Nord).	2001-04-05	0.00	0.00	0.00
GULLFAKS SØR	2001-05-30	0	0	0
6507/11-6 SIGRID	2001-06-13	0.36	1.92	2.61
6305/9-1	2001-07-09	0.00	0.00	0.00
6506/3-1	2001-07-22	0.00	0.00	0.00
25/2-16 S	2001-08-03	0.00	0.00	0.00
URD	2001-08-13	0	0	0
24/12-4	2001-08-31	0.00	0.00	0.00
OSEBERG	2001-09-15	0	0	0
16/2-2	2001-09-17	0.00	0.00	0.00
GULLFAKS	2001-10-06	0	0	0
OSEBERG	2001-10-08	0	0	0
34/7-32	2001-10-09	0.00	0.00	0.00
25/8-13	2001-10-31	0.00	0.00	0.00
GULLFAKS	2001-11-03	0	0	0
VESLEFRIKK	2001-11-05	0	0	0
GIMLE	2001-11-06	2.90	0.90	4.00
GULLFAKS	2001-11-13	0	0	0
2/5-12	2001-11-24	0.00	0.00	0.00
6404/11-1	2001-12-01	0.00	0.00	0.00
36/7-3	2001-12-12	0.00	0.00	0.00
6406/5-1	2001-12-23	0.00	0.00	0.00
URD	2001-12-29	0	0	0
OSEBERG SØR	2002-01-09	0	0	0
GULLFAKS	2002-02-01	0	0	0
35/3-6	2002-02-06	0.00	0.00	0.00
GULLFAKS SØR	2002-03-26	0	0	0
1/5-4 S	2002-04-15	0.00	0.00	0.00
GULLFAKS SØR	2002-04-26	62.40	84.80	159.30
35/1-1	2002-05-28	0.00	0.00	0.00
OSEBERG SØR	2002-07-12	0	0	0
34/6-1 S	2002-07-18	0.00	0.00	0.00
GULLFAKS SØR	2002-09-22	0	0	0
6403/10-1	2002-10-24	0.00	0.00	0.00
34/10-47 A	2002-11-02	0.00	0.00	0.00
6608/11-3	2002-11-26	0.00	0.00	0.00
TROLL	2002-11-27	0	0	0
16/7-8 S	2002-12-17	0.00	0.00	0.00
URD	2003-01-23	0	0	0
ALVHEIM	2003-03-21	0	0	0
1/9-1 TOMMELITEN ALPHA	2003-03-22	0	0	0
ALVHEIM	2003-04-22	0	0	0
6706/6-1 (Hvitveis)	2003-05-02	0.00	0.00	0.00
16/1-6 S (Verdandi)	2003-05-22	0.00	0.00	0.00
35/8-5 S	2003-06-01	0.00	0.00	0.00
6405/7-1 (Ellida)	2003-06-20	0.00	0.00	0.00
6406/1-2 (Sklinna Sør)	2003-06-26	0.00	0.00	0.00
6608/10-10	2003-07-17	0.00	0.00	0.00
25/9-2 S	2003-07-18	0.00	0.00	0.00
RINGHORNE ØST	2003-08-21	15.70	0.30	16.00
VILJE	2003-09-05	13.40	0.00	13.40
VALE	2003-09-09	0	0	0
2/4-15 SR	2003-10-03	0.00	0.00	0.00
GULLFAKS	2003-10-10	0	0	0
6507/8-7	2004-01-05	0.00	0.00	0.00
GIMLE	2004-03-17	0	0	0
26/4-2	2004-04-13	0.00	0.00	0.00
IVAR AASEN	2004-04-29	23.30	4.40	28.60
6608/11-4 LINERLE	2004-05-01	0.00	0.00	0.00
30/11-6 S	2004-06-03	0.00	0.00	0.00
6406/9-1 LINNORM	2004-06-15	0.00	24.35	24.93
6507/1-1	2004-09-25	0.00	0.00	0.00
15/12-15	2004-11-19	0.00	0.00	0.00
7220/6-1	2005-01-20	0.00	0.00	0.00
31/4-12	2005-02-06	0.00	0.00	0.00
35/11-13 (Astero)	2005-03-18	1.69	0.30	2.01
7131/4-1	2005-04-02	0.00	0.00	0.00
6605/8-1	2005-06-14	0.00	0.00	0.00
6302/6-1 (Tulipan)	2005-06-24	0.00	0.00	0.00
35/2-1 (Peon)	2005-07-21	0.00	19.54	19.54
9/3-2	2005-10-23	0.00	0.00	0.00
GOLIAT	2005-10-24	0	0	0
1/2-2	2005-12-14	0.00	0.00	0.00
15/9-22	2006-01-01	0.00	0.00	0.00
9/4-5	2006-01-08	0.00	0.00	0.00
7227/11-1 S	2006-01-13	0.00	0.00	0.00
7227/11-1 A	2006-02-24	0.00	0.00	0.00
GULLFAKS SØR	2006-03-20	0	0	0
6403/6-1	2006-04-10	0.00	0.00	0.00
34/10-49 A	2006-05-21	0.00	0.00	0.00
35/2-1 (Peon)	2006-06-15	0	0	0
6608/11-5	2006-06-18	0.00	0.00	0.00
URD	2006-07-12	0	0	0
6406/3-7	2006-07-22	0.00	0.00	0.00
GOLIAT	2006-09-21	0	0	0
6406/6-2	2006-09-23	0.00	0.00	0.00
6406/8-2	2006-10-28	0.00	0.00	0.00
7122/7-5	2006-11-28	0.00	0.00	0.00
6507/11-7	2006-12-13	0.00	0.00	0.00
16/4-4 (Biotitt)	2006-12-28	0.00	0.00	0.00
7125/4-1 (Nucula)	2007-01-17	0.00	0.00	0.00
6607/2-1	2007-02-09	0.00	0.00	0.00
25/11-24 (Jakob Sør)	2007-02-18	0.00	0.00	0.00
6504/5-1 S	2007-03-31	0.00	0.00	0.00
FRAM H-NORD	2007-04-01	0.70	0.00	0.70
YTTERGRYTA	2007-05-31	0.30	2.20	2.90
6405/10-1 (Midnattsol)	2007-07-05	0.00	0.00	0.00
24/9-8	2007-07-18	0.00	0.00	0.00
16/2-3 (Ragnarock)	2007-08-01	2.90	0.40	3.30
NJORD	2007-08-03	0	0	0
11/5-1	2007-08-07	0.00	0.00	0.00
7/7-4	2007-08-29	0.00	0.00	0.00
15/12-18 S (Storskrymten)	2007-09-05	0.00	0.00	0.00
EDVARD GRIEG	2007-09-08	26.20	1.80	28.50
6609/6-1	2007-09-17	0.00	0.00	0.00
2/4-20	2007-09-22	0.00	0.00	0.00
16/2-4	2007-10-08	1.37	0.18	2.31
6608/8-2	2007-10-14	0.00	0.00	0.00
34/12-1 (Afrodite)	2007-11-03	1.66	15.90	18.40
15/12-18 A	2007-11-08	0.00	0.00	0.00
7120/8-4	2007-11-14	0.00	0.00	0.00
31/1-1	2008-01-02	0.00	0.00	0.00
6407/6-6 MIKKEL SØR	2008-01-02	0.63	2.15	3.33
7222/6-1 S (Obesum)	2008-01-07	0.00	0.00	0.00
SVALIN	2008-01-20	0	0	0
25/11-25 A	2008-02-15	0.00	0.00	0.00
GAUPE	2008-02-18	0	0	0
IVAR AASEN	2008-02-19	0	0	0
ALVE	2008-02-28	0	0	0
6507/11-9 (Natalia)	2008-03-12	0.00	0.00	0.00
OSEBERG	2008-03-13	0	0	0
2/9-4	2008-03-20	0.00	0.00	0.00
7/1-2 S	2008-03-20	0.00	0.00	0.00
6407/8-4 S	2008-04-20	0.00	0.00	0.00
KNARR	2008-04-28	8.90	0.20	9.70
30/2-4 S	2008-05-01	0.00	0.00	0.00
30/9-21 A	2008-05-04	0.00	0.00	0.00
6605/8-2	2008-05-11	0.00	0.00	0.00
7226/2-1 (Ververis)	2008-05-18	0.00	0.00	0.00
6407/8-4 A	2008-05-22	0.00	0.00	0.00
1/3-11 (Ipswich)	2008-05-28	0.00	0.00	0.00
VARG	2008-05-28	0	0	0
32/2-1	2008-06-18	0.00	0.00	0.00
6407/7-8 (Noatun)	2008-06-18	0.49	2.03	2.80
AASTA HANSTEEN	2008-07-12	0.00	45.50	46.40
6608/11-6	2008-07-17	0.00	0.00	0.00
7224/6-1 (Arenaria)	2008-07-22	0.00	0.00	0.00
34/7-33	2008-08-16	0.00	0.00	0.00
7222/11-1 (Caurus)	2008-08-24	0.00	0.00	0.00
AASTA HANSTEEN	2008-08-31	0	0	0
3/7-7	2008-09-03	0.00	0.00	0.00
VISUND SØR	2008-09-17	2.70	7.50	11.20
2/5-13	2008-09-25	0.00	0.00	0.00
6707/10-2 A	2008-10-14	0.00	0.00	0.00
SKULD	2008-10-19	5.10	0.30	5.50
6507/6-3	2008-10-31	0.00	0.00	0.00
2/1-13 S	2008-11-07	0.00	0.00	0.00
30/11-7 (Fulla)	2008-11-12	0.00	0.00	0.00
30/8-4 S	2008-11-29	0.00	0.00	0.00
7223/5-1	2008-12-05	0.00	0.00	0.00
2/1-14 S	2008-12-07	0.00	0.00	0.00
6605/1-1	2008-12-07	0.00	0.00	0.00
2/5-14 S	2008-12-30	0.00	0.00	0.00
OSEBERG SØR	2009-01-29	0	0	0
35/6-1 S	2009-02-04	0.00	0.00	0.00
6705/10-1 (Asterix)	2009-02-05	0.00	17.17	17.46
30/5-3 S (Corvus)	2009-02-06	0.44	5.49	5.93
15/6-10 (Freke)	2009-02-07	0.00	0.00	0.00
35/6-2 S	2009-02-11	0.00	0.00	0.00
VIGDIS	2009-02-14	0	0	0
16/2-5	2009-02-22	0.00	1.90	2.10
15/12-21 (Grevling)	2009-03-15	7.69	0.11	7.80
VISUND	2009-03-17	0	0	0
6603/12-1 (Gro)	2009-03-26	0.00	0.00	0.00
25/8-16 S (Eitri)	2009-04-10	0.00	0.00	0.00
6407/6-7 S MIKKEL SØR	2009-04-12	0.00	0.00	0.00
30/5-3 A	2009-04-15	0.00	0.00	0.00
HYME	2009-05-02	0	0	0
VISUND	2009-05-14	0	0	0
6507/3-6	2009-05-29	0.00	0.00	0.00
35/12-2 (Grosbeak)	2009-05-30	4.80	0.70	5.50
HYME	2009-05-30	4.20	0.60	5.00
ÅSGARD	2009-06-01	0	0	0
6507/3-7 (Idun Nord)	2009-06-02	0.00	0.80	0.80
25/10-9	2009-06-09	0.00	0.00	0.00
35/3-7 S	2009-06-28	0.00	0.00	0.00
6407/2-4	2009-07-23	0.00	0.00	0.00
6407/2-5 S (Nona)	2009-07-26	2.91	1.30	4.28
16/1-12 (Rolvsnes)	2009-07-29	5.08	0.45	5.72
30/9-23	2009-07-29	0.00	0.00	0.00
6306/6-2	2009-08-21	0.00	0.00	0.00
25/5-6	2009-08-27	0.00	0.00	0.00
25/9-3	2009-08-28	0.00	0.00	0.00
6609/10-2	2009-09-05	0.00	0.00	0.00
25/2-17	2009-09-07	0.00	0.00	0.00
30/9-24	2009-09-10	0.00	0.00	0.00
BØYLA	2009-09-12	3.40	0.20	3.60
EDVARD GRIEG	2009-10-02	0	0	0
JETTE	2009-10-09	0.50	0.00	0.50
34/4-11 (Beta)	2009-10-13	3.66	0.34	4.25
6608/10-13	2009-10-17	0.00	0.00	0.00
ALVHEIM	2009-10-20	0	0	0
34/3-2 S	2009-10-25	0.00	0.00	0.00
6507/3-8 (Gjøk)	2009-11-09	0.00	1.41	1.72
25/4-10 A	2009-11-11	0.00	0.00	0.00
15/9-23	2009-11-18	0.00	0.00	0.00
6407/12-2	2009-11-23	0.00	0.00	0.00
1/3-12 S	2009-12-01	0.00	0.00	0.00
34/4-12 S	2009-12-19	0.00	0.00	0.00
35/9-5	2010-01-01	0.00	0.00	0.00
25/1-11	2010-01-04	0.00	0.00	0.00
34/5-1 S	2010-01-07	0.00	0.00	0.00
SKARV	2010-01-12	0	0	0
6507/11-10	2010-01-16	0.00	0.00	0.00
SNORRE	2010-01-27	0	0	0
16/4-5	2010-02-04	0.00	0.00	0.00
6506/9-2 S (Fogelberg)	2010-02-11	1.42	7.56	9.70
SKULD	2010-02-22	0	0	0
25/10-10	2010-03-01	0.00	0.00	0.00
9/2-11	2010-03-09	0.00	0.00	0.00
2/2-6	2010-03-27	0.00	0.00	0.00
6407/2-6 S (Flyndretind)	2010-04-03	0.00	1.90	2.40
25/1-11 R (Storklakken)	2010-04-04	1.74	0.00	1.74
15/12-22	2010-04-17	0.00	0.00	0.00
6407/12-3	2010-05-14	0.00	0.00	0.00
MARIA	2010-05-16	25.00	2.50	29.50
15/9-24	2010-05-18	0.00	0.00	0.00
GUDRUN	2010-05-19	0	0	0
6604/10-1	2010-05-26	0.00	0.00	0.00
8/10-3	2010-06-02	0.00	0.00	0.00
6507/7-14 S (Zidane)	2010-06-14	0.00	17.92	18.57
JOHAN SVERDRUP	2010-07-20	279.50	8.50	291.70
24/12-6 S	2010-08-16	0.00	0.00	0.00
ATLA	2010-08-25	0.30	1.20	1.50
6603/5-1 S	2010-09-06	0.00	0.00	0.00
35/1-2 S	2010-09-12	0.00	0.00	0.00
IVAR AASEN	2010-09-26	0	0	0
35/9-6 S	2010-09-29	0.00	0.00	0.00
7120/12-5	2010-10-17	0.00	0.00	0.00
3/8-1	2010-10-29	0.00	0.00	0.00
16/7-9	2010-12-05	0.00	0.00	0.00
GULLFAKS SØR	2010-12-06	0	0	0
15/6-12 (McHenry)	2010-12-22	0.00	0.00	0.00
35/12-3 S	2010-12-24	0.00	0.00	0.00
6305/9-2	2010-12-26	0.00	0.00	0.00
17/6-1	2011-01-05	0.00	0.00	0.00
24/9-10 S (Caterpillar)	2011-01-06	1.19	0.10	1.29
7119/12-4	2011-01-12	0.00	0.00	0.00
25/10-11	2011-02-22	0.00	0.00	0.00
6507/8-8	2011-02-26	0.00	0.00	0.00
7220/8-1 JOHAN CASTBERG	2011-02-27	0.00	13.96	13.96
30/11-8 S (Krafla)	2011-03-20	10.09	3.77	14.61
6604/2-1	2011-03-21	0.00	0.00	0.00
GULLFAKS SØR	2011-03-24	0	0	0
7/11-12 S	2011-03-27	0.00	0.00	0.00
6407/3-1 S	2011-04-14	0.00	0.00	0.00
7225/3-1 (Norvarg)	2011-04-30	0.00	0.00	0.00
35/7-1 S	2011-05-13	0.00	0.00	0.00
7120/2-3 S (Skalle)	2011-05-15	0.00	5.00	5.00
30/11-8 A	2011-05-20	0.00	0.00	0.00
GULLFAKS SØR	2011-06-18	0	0	0
31/8-1	2011-06-27	0.00	0.00	0.00
16/7-10	2011-07-09	0.00	0.00	0.00
6607/12-2 S (Alve Nord)	2011-07-22	2.14	4.86	7.00
6407/5-2 S (Cortina)	2011-07-28	0.00	0.00	0.00
GULLFAKS SØR	2011-08-07	0	0	0
7/11-12 A	2011-08-08	0.00	0.00	0.00
8/10-4 S (Butch)	2011-08-15	6.51	0.29	6.80
15/8-2	2011-08-20	0.00	0.00	0.00
6508/1-2	2011-08-20	0.00	0.00	0.00
6608/11-7 S	2011-09-07	0.00	0.00	0.00
KNARR	2011-09-10	0	0	0
7124/4-1 S	2011-09-16	0.00	0.00	0.00
9/1-1 S	2011-10-01	0.00	0.00	0.00
7121/9-1	2011-10-15	0.00	0.00	0.00
6507/6-4 S	2011-10-26	0.00	0.00	0.00
33/12-9 S (Skinfaks Sør)	2011-10-28	0.55	0.45	1.08
6406/3-9	2011-11-09	0.00	0.00	0.00
6507/6-4 A	2011-11-16	0.00	0.00	0.00
7220/7-1 JOHAN CASTBERG	2011-12-05	0.00	0.00	0.00
6507/7-15 S	2012-01-09	0.00	0.00	0.00
25/6-4 S	2012-01-10	0.00	0.00	0.00
OSEBERG	2012-01-16	0	0	0
2/4-21 (King Lear)	2012-01-19	0.00	8.10	13.60
7/12-13 S	2012-01-29	0.00	0.00	0.00
35/9-7 (Skarfjell)	2012-02-28	11.01	4.23	16.53
7228/1-1	2012-03-29	0.00	0.00	0.00
34/7-35 S	2012-05-08	0.00	0.00	0.00
6201/11-3 (Albert)	2012-05-08	0.00	0.00	0.00
6506/11-9 S	2012-05-09	0.00	0.00	0.00
2/8-18 S	2012-05-23	0.00	0.00	0.00
SKARV	2012-06-01	0	0	0
35/2-3	2012-06-13	0.00	0.00	0.00
33/6-4	2012-07-06	0.00	0.00	0.00
3/4-2 S	2012-07-18	0.00	0.00	0.00
34/6-2 S (Garantiana)	2012-08-06	12.12	0.49	12.61
7220/10-1 (Salina)	2012-08-13	0.00	0.00	0.00
6201/11-3 (Albert)	2012-08-15	0	0	0
7/11-13	2012-09-08	0.00	0.00	0.00
16/10-5	2012-10-06	0.00	0.00	0.00
7120/6-3 S	2012-10-10	0.00	0.00	0.00
6607/12-3	2012-10-22	0.00	0.00	0.00
IVAR AASEN	2012-10-23	0	0	0
7/8-6 S	2012-11-09	0.00	0.00	0.00
6407/1-6 S	2012-12-07	0.00	1.70	2.10
3/7-8 S (Trym Sør)	2012-12-09	0.00	0.00	0.00
6506/6-2	2012-12-11	0.00	0.00	0.00
6610/10-1	2013-01-01	0.00	0.00	0.00
VISUND	2013-01-03	0	0	0
8/5-1	2013-01-10	0.00	0.00	0.00
25/11-26	2013-01-16	0.00	0.00	0.00
16/1-17	2013-02-11	0.00	0.00	0.00
7218/11-1	2013-03-05	0.00	0.00	0.00
16/4-6 S (Luno II)	2013-03-11	2.20	0.60	2.80
16/8-3 S	2013-03-11	0.00	0.00	0.00
3/7-9 S	2013-03-14	0.00	0.00	0.00
7/4-3	2013-04-05	0.00	0.00	0.00
26/5-1	2013-04-10	0.00	0.00	0.00
6406/6-3 (Mjøsa)	2013-04-14	0.00	0.00	0.00
6406/9-3 (Onyx Sør)	2013-04-18	0.00	0.00	0.00
25/11-27	2013-05-04	4.35	0.00	4.35
2/1-16 S	2013-05-10	0.00	0.00	0.00
7220/5-2 (Nunatak)	2013-05-19	0.00	0.00	0.00
6608/2-1 S	2013-06-06	0.00	0.00	0.00
ÅSGARD	2013-06-16	103.40	210.00	369.10
6507/3-10 (Klara)	2013-06-25	0.00	0.00	0.00
7016/2-1	2013-07-14	0.00	0.00	0.00
7120/1-3 (Gohta)	2013-07-16	14.57	6.22	20.79
7219/8-2 (Iskrystall)	2013-07-16	0.00	0.00	0.00
2/1-15	2013-07-18	0.00	0.00	0.00
16/4-7	2013-07-23	0.00	0.00	0.00
30/9-25	2013-08-10	0.00	0.00	0.00
7324/8-1 (Wisting)	2013-08-10	38.30	0.00	38.30
16/1-20 A	2013-08-13	0.00	0.00	0.00
URD	2013-08-20	0	0	0
VALEMON	2013-09-02	0	0	0
IVAR AASEN	2013-09-03	0	0	0
4/4-1	2013-09-13	0.00	0.00	0.00
6407/8-6 (Snilehorn)	2013-09-20	7.45	2.10	10.14
7324/7-1 S	2013-09-20	0.00	0.00	0.00
30/11-9 S (Askja)	2013-09-22	6.82	7.46	15.77
16/2-20 S	2013-09-30	0.00	0.00	0.00
7220/7-2 S (Skavl)	2013-10-02	0.00	0.00	0.00
35/9-9	2013-10-04	0.00	0.00	0.00
6507/10-2 S (Novus)	2013-11-10	0.00	0.00	0.00
30/11-9 A (Askja Øst)	2013-11-14	0.00	0.00	0.00
16/2-20 A	2013-11-21	0.00	0.00	0.00
31/3-4	2013-11-22	0.00	0.00	0.00
25/5-8	2013-12-14	0.00	0.00	0.00
7220/4-1 (Kramsnø)	2013-12-22	0.00	0.00	0.00
25/5-9 (Trell)	2014-01-01	1.53	0.00	1.53
8/10-5 S	2014-01-04	0.00	0.00	0.00
25/9-4	2014-01-10	0.00	0.00	0.00
35/11-16 S	2014-01-10	0.00	0.00	0.00
7222/11-2 (Langlitinden)	2014-01-14	0.00	0.00	0.00
VISUND	2014-01-16	0	0	0
6406/12-3 S (Pil)	2014-01-21	11.10	4.20	16.16
6407/1-7	2014-02-01	0.00	1.10	1.40
GULLFAKS SØR	2014-02-11	0	0	0
7220/7-3 S	2014-02-28	0.00	0.00	0.00
7218/8-1	2014-03-03	0.00	0.00	0.00
8/10-5 A	2014-03-06	0.00	0.00	0.00
35/11-17 (F-Vest)	2014-03-24	0.49	0.27	0.76
6608/10-16	2014-04-08	0.00	0.00	0.00
7324/7-2 (Hanssen)	2014-04-13	0.00	0.00	0.00
6406/12-3 A (Bue)	2014-04-26	1.92	0.17	2.09
31/2-21 S	2014-04-28	0.00	0.00	0.00
8/10-6 S	2014-05-31	0.00	0.00	0.00
7324/2-1	2014-06-01	0.00	0.00	0.00
6507/5-7	2014-06-07	0.00	0.00	0.00
7325/1-1 (Atlantis)	2014-06-24	0.00	0.00	0.00
31/10-1	2014-07-01	0.00	0.00	0.00
2/9-5 S	2014-07-21	0.00	0.00	0.00
34/7-36 S	2014-07-28	0.00	0.00	0.00
7324/9-1 (Mercury)	2014-07-28	0.00	0.00	0.00
7220/11-1 (Alta)	2014-08-05	26.10	9.70	35.80
33/12-10 S	2014-08-30	0.00	0.00	0.00
7125/4-3	2014-09-02	0.00	0.00	0.00
2/4-22 S (Romeo)	2014-09-10	0.94	0.31	1.25
7319/12-1 (Pingvin)	2014-09-10	0.00	0.00	0.00
7220/2-1 (Isfjell)	2014-09-27	0.00	0.00	0.00
34/6-3 A (Akkar)	2014-09-29	0.00	0.00	0.00
6707/10-3 S (Ivory)	2014-10-06	0.00	5.10	5.10
33/2-1	2014-10-07	0.00	0.00	0.00
7227/10-1	2014-10-12	0.00	0.00	0.00
25/10-12 S	2014-10-27	0.00	0.00	0.00
6405/12-1	2014-10-30	0.00	0.00	0.00
30/11-10 (Krafla Nord)	2014-11-02	0.66	0.37	1.03
35/9-12 S	2014-11-04	0.00	0.00	0.00
30/9-26 S	2014-11-10	0.00	0.00	0.00
34/3-4 S	2014-11-13	0.00	0.00	0.00
34/3-4 A	2014-12-01	0.00	0.00	0.00
6406/6-4	2015-01-06	0.00	0.00	0.00
30/6-29 S	2015-01-10	0.00	0.00	0.00
6406/2-8 (Imsa Sør)	2015-01-18	0.48	0.22	0.70
26/10-1 (Zulu Øst)	2015-01-20	0.00	0.00	0.00
34/3-5	2015-02-14	0.00	0.00	0.00
16/1-24	2015-02-15	0.00	0.00	0.00
6706/12-2 (Snefrid Nord)	2015-02-20	0.00	6.30	6.30
